Saccade_Start,Saccade_End,Saccade_Type,Saccade_Duration,Saccade_Mean_Velocity,Saccade_Min_Velocity,Saccade_Max_Velocity,Saccade_Path_Length:
1275,1276,Long,125,0.0016385945197027849,0.0,0.0032771890394055697,0.4096486299256962
1314,1316,Long,156,0.002986577601610504,0.0,0.006049139738118133,0.5513474652208346
1343,1344,Long,111,0.0021560960325210012,0.0,0.0043121920650420024,0.47865331921966237
1413,1414,Standard,32,0.004399756520604765,0.0006000346850883313,0.0081994783561212,0.2809843826336167
1516,1517,Standard,31,0.0077381302843096056,7.213122508063843e-05,0.015404129343538573,0.47976407762719564
1576,1579,Long,171,0.005614048273938069,0.0004687499999999997,0.012224747213928166,0.9671390137435089
1653,1654,Long,124,0.00166454621440678,0.0,0.00332909242881356,0.4128074611728814
1672,1673,Long,126,0.0014996115227194056,0.0,0.002999223045438811,0.37790210372529026
1977,1978,Standard,30,0.0065326282297395516,0.00033187949620306473,0.012733376963276038,0.42348624592366424
1995,1996,Long,124,0.0014035617877341609,0.0,0.0028071235754683218,0.34808332335807185
2010,2011,Long,125,0.0014032020524500383,0.0,0.0028064041049000767,0.3508005131125096
2015,2016,Long,124,0.0015300334020008496,0.0,0.003060066804001699,0.3794482836962107
2051,2052,Long,125,0.0016076815605087968,0.0,0.0032153631210175937,0.4019203901271992
2167,2168,Long,140,0.0012700735154682495,0.0,0.002540147030936499,0.3556205843311098
2197,2198,Standard,31,0.0053180006642799035,0.0009630453686103457,0.00967295595994946,0.33164213192257463
2237,2238,Standard,30,0.008677718939226343,0.0006187184335382293,0.016736719444914457,0.5219005732206572
2244,2245,Standard,30,0.008354038988797035,0.0011524430571616103,0.01555563492043246,0.5035472254421454
2435,2437,Long,141,0.005549250190669599,0.0,0.01286953767623375,0.82365041127896
2482,2483,Long,140,0.0012966302479889941,0.0,0.0025932604959779883,0.3630564694369183
2666,2667,Standard,32,0.007060849495703414,0.003078239034830718,0.01104345995657611,0.44573788965535704
2880,2881,Standard,32,0.008084572088393886,0.0013556882477177416,0.014813455929070029,0.5174126136572087
3114,3115,Standard,47,0.003866628384545762,0.0026317520070156305,0.0051015047620758935,0.32135503603505156
6245,6246,Standard,31,0.004690757458523785,0.00012884705080055202,0.009252667866247018,0.29095580947927524
12501,12502,Standard,30,0.007906826791830242,0.002610076627227638,0.013203576956432846,0.4796297607642698
13011,13012,Micro,16,0.010023463176580157,0.005120806210939831,0.014926120142220481,0.320750821650565
