Saccade_Start,Saccade_End,Saccade_Type,Saccade_Duration,Saccade_Mean_Velocity,Saccade_Min_Velocity,Saccade_Max_Velocity,Saccade_Path_Length:
2638,2639,Long,107,0.001807066303518845,0.0014806697175602662,0.002133462889477424,0.2756619601360129
3016,3017,Long,155,0.0008791134772371955,0.0006916795279098981,0.0010665474265644929,0.18814027553852306
3019,3020,Standard,30,0.0064419032033704434,0.002926508692110789,0.009957297714630099,0.39236720958644816
10563,10564,Standard,32,0.009355131414786598,0.001751846316673177,0.016958416512900018,0.5934728715963227
10587,10588,Standard,46,0.005866133476589475,0.0008643322928712089,0.010867934660307742,0.5275836277460347
10659,10660,Standard,46,0.0059318090699204675,0.0007126096406869618,0.011151008499153974,0.5357498994630656
10670,10671,Standard,47,0.0055606471212689985,0.0005642856672430926,0.010557008575294905,0.5136722587233964
10673,10674,Standard,47,0.005404989777905956,0.0004121657729919814,0.01039781378281993,0.502298718301272
10676,10677,Standard,32,0.0079615969594216,0.00035630196829636177,0.015566891950546839,0.5091859034346861
10689,10690,Standard,31,0.008585410778455017,0.001081968376209575,0.016088853180700458,0.532295468264211
