Fixation_Start_Time,Fixation_End_Time,Fixation_Duration,Average_Gaze_X,Average_Gaze_Y,Average_Velocity
1539006138999,1539006139171,172,-0.2374976666666667,0.11085983333333334,0.012044094836438866
1539006145389,1539006145514,125,0.21040780000000003,-0.1832224,0.019108077022848054
1539006145858,1539006146076,218,0.22651187500000003,-0.161903125,0.02108144825818763
1539006147654,1539006148014,360,0.15586791666666666,-0.07734233333333333,0.014910268376728071
1539006150702,1539006150858,156,0.12082299999999999,-0.045550799999999995,0.015112524232558261
1539006154154,1539006179014,24860,0.0,0.0,6.144495113670015e-05
1539006179544,1539006179733,189,0.10611871428571429,-0.04135414285714285,0.021137032904735037
1539006179936,1539006180060,124,0.1158512,-0.08719879999999999,0.016035989470742987
1539006184295,1539006184796,501,0.0,0.0,0.05681934742863867
1539006185436,1539006185591,155,-0.008098666666666667,0.2097665,0.016231624108319024
1539006185983,1539006186389,406,-0.14420669230769229,0.17340530769230772,0.01011222742799641
1539006189593,1539006189749,156,0.11519283333333334,0.0636815,0.018605557370384215
1539006191374,1539006191499,125,0.1112946,0.08914439999999998,0.015869415070474242
1539006192248,1539006192373,125,0.026688,0.0332852,0.014685843713981675
1539006195577,1539006195810,233,0.026969,0.117707875,0.014140918737447668
1539006196092,1539006196249,157,0.0443904,0.1022478,0.024199435765049036
1539006197015,1539006197170,155,0.08670483333333334,0.09056316666666668,0.020583611622281745
1539006198795,1539006198936,141,0.06320640000000001,0.0531214,0.016354458908282885
1539006198998,1539006199140,142,0.0437754,0.0527362,0.02149065504194068
1539006200796,1539006200905,109,0.14929575,0.039252499999999996,0.02436716445220171
1539006200998,1539006201124,126,0.1633254,0.0438036,0.017511429046135132
1539006202060,1539006202202,142,0.08856100000000001,0.054196600000000004,0.017260595057258604
1539006204515,1539006210763,6248,0.0,0.0,6.0726301966339426e-05
1539006212451,1539006212576,125,0.1713896,-0.0657254,0.015535317884301745
1539006213608,1539006213748,140,0.3094208,-0.0245776,0.017247369259557766
1539006213811,1539006213936,125,0.320103,-0.027728399999999997,0.017873432254458744
1539006215671,1539006215811,140,0.16993439999999999,0.1458064,0.015405610991468236
1539006216935,1539006217201,266,0.1669367777777778,0.19740088888888888,0.015362450336509407
1539006217452,1539006217670,218,0.166802125,0.19948225,0.012071845939571705
1539006217874,1539006217998,124,0.1626496,0.19796,0.020631958482397465
1539006219514,1539006219702,188,0.12363957142857143,0.17426942857142855,0.015462916169234689
1539006219765,1539006220155,390,0.13100446153846154,0.1766920769230769,0.015535725634099625
1539006222234,1539006222529,295,-0.13877040000000002,0.0807698,0.011294427224073204
1539006224357,1539006224529,172,-0.30944849999999996,0.14388633333333334,0.02871624809201706
1539006224857,1539006225030,173,0.018881833333333334,0.13228433333333334,0.018838800918100956
1539006225093,1539006225216,123,0.045593600000000005,0.1605492,0.014267854189346743
1539006225451,1539006225857,406,0.009342384615384615,0.1719652307692308,0.011275059558366466
1539006227311,1539006227421,110,0.04380375,0.234579,0.021758732061241473
1539006228327,1539006228576,249,-0.12349922222222223,0.2190588888888889,0.014006915607893597
1539006230545,1539006230670,125,-0.2274286,0.1819982,0.018164326196654132
1539006231466,1539006231591,125,-0.24162124999999998,0.146341,0.01613423209507658
1539006231685,1539006231951,266,-0.2676246666666667,0.145164,0.009274463761297114
