Fixation_Start_Time,Fixation_End_Time,Fixation_Duration,Average_Gaze_X,Average_Gaze_Y,Average_Velocity
1539098923639,1539098924186,547,-0.007879470588235293,0.2537684117647059,0.009827444599471782
1539098924435,1539098924608,173,-0.0018423333333333332,0.24834216666666667,0.013169404047122413
1539098924670,1539098925046,376,-0.05068541666666667,0.26287366666666667,0.011523046452771149
1539098925108,1539098925296,188,-0.09114385714285714,0.31770457142857145,0.016672273754205266
1539098925608,1539098925842,234,0.034630875,0.26217775,0.013183094474604388
1539098926373,1539098926529,156,-0.05197866666666667,0.21822266666666668,0.01829117420509223
1539098926607,1539098926873,266,-0.04416222222222222,0.2392751111111111,0.00870872854348943
1539098926936,1539098927701,765,-0.002804916666666667,0.21634366666666668,0.013907358782140824
1539098927936,1539098928311,375,-0.032128333333333335,0.22399341666666664,0.013196719566171758
1539098928373,1539098928702,329,-0.03701990909090909,0.23747309090909094,0.009681268148040873
1539098928968,1539098929201,233,-0.13071750000000001,0.19974799999999998,0.018768648842194195
1539098929499,1539098930373,874,-0.008280296296296296,0.2296178888888889,0.011028961723620233
1539098930593,1539098930874,281,-0.034883444444444446,0.31147111111111114,0.012235142892632007
1539098931060,1539098931264,204,-0.05679557142857143,0.3077981428571429,0.016302053814798902
1539098931327,1539098932077,750,0.06864547826086957,0.2918598260869565,0.010521365740152278
1539098932140,1539098932686,546,0.07242649999999999,0.2909623333333333,0.009721457669036154
1539098932937,1539098933092,155,0.04336566666666667,0.31618566666666664,0.015243749019712023
1539098933154,1539098933265,111,0.034139,0.3245705,0.017751541898268695
1539098933655,1539098933826,171,0.08709066666666669,0.4909113333333334,0.0171175280090646
1539098934061,1539098934421,360,0.08239624999999999,0.5693493333333333,0.02490718778099843
1539098934623,1539098935248,625,0.07762605000000002,0.5908180000000001,0.01433158475119275
1539098935685,1539098935858,173,0.1152975,0.4979375000000001,0.02105365943450854
1539098936155,1539098936389,234,0.093135375,0.40520125,0.020390696013391805
1539098936451,1539098936764,313,0.0674596,0.3718376,0.01768759874174043
1539098936983,1539098937093,110,0.0643185,0.33412375,0.015721440694976482
1539098937154,1539098937310,156,0.06097533333333333,0.32624400000000003,0.014957553777996251
1539098937374,1539098937624,250,0.08590162500000001,0.329452125,0.014113596260343107
1539098937749,1539098937921,172,0.06491816666666667,0.3300908333333333,0.016029970326909882
1539098938077,1539098938859,782,0.0789555,0.3183673333333333,0.011554891802776612
1539098938920,1539098939123,203,0.06886271428571429,0.3210494285714286,0.015884393928557308
1539098939342,1539098939561,219,0.04254128571428571,0.32649142857142854,0.011391735880472986
1539098939624,1539098940123,499,0.0607508125,0.3248283125,0.014027342746644057
1539098940451,1539098940670,219,-0.03085675,0.31308012500000004,0.022237744483114608
1539098940795,1539098941217,422,0.059202428571428566,0.3266801428571429,0.014645875531692807
1539098941591,1539098942015,424,-0.037882428571428574,0.30814885714285717,0.012848106663870155
1539098942124,1539098943109,985,0.06671490322580645,0.330154129032258,0.011875064073647176
1539098943515,1539098943904,389,0.036930846153846154,0.31879961538461543,0.014228090867928868
1539098944155,1539098944280,125,0.06782740000000001,0.30223999999999995,0.022625790327200745
1539098944515,1539098944810,295,0.05411900000000001,0.3216208,0.017178978657305284
1539098945013,1539098945780,767,-0.0249785,0.34541441666666667,0.012895786179075408
1539098945966,1539098946873,907,-0.01679664,0.33985032,0.01333957208692315
1539098947232,1539098947763,531,-0.0416210625,0.37831275,0.007672001369261673
1539098947841,1539098948342,501,-0.0272056875,0.379345375,0.008590422144702351
1539098948467,1539098948592,125,-0.0083622,0.376845,0.012522446734626356
1539098948670,1539098949998,1328,0.007226731707317073,0.3721110975609756,0.009955223442486076
1539098950295,1539098950404,109,-0.015572,0.38886575,0.014530479591102954
1539098950467,1539098951234,767,0.019921166666666667,0.36656012499999996,0.013965203155834327
1539098951562,1539098952062,500,0.024190625,0.3662368125,0.013998478448447621
1539098952327,1539098952654,327,0.014392090909090908,0.36351236363636363,0.012521419276269192
1539098953062,1539098953624,562,0.015761499999999998,0.36243472222222217,0.013081999103116424
1539098953702,1539098953857,155,0.012113333333333332,0.3616508333333333,0.016023854815126547
1539098954263,1539098955280,1017,0.00275578125,0.3714438125,0.010294762857642126
