Saccade_Start,Saccade_End,Saccade_Type,Saccade_Duration,Saccade_Mean_Velocity,Saccade_Min_Velocity,Saccade_Max_Velocity,Saccade_Path_Length:
2007,2008,Long,173,0.0012385935854692552,0.0,0.0024771871709385104,0.4285533805723623
2012,2013,Long,187,0.002166717711510334,0.0008261296542375681,0.0035073057687830997,0.27022733571226754
2185,2186,Standard,30,0.0034522799936922,0.0005840466467696614,0.0063205133406147385,0.31752161586099803
3599,3601,Long,172,0.006418681352572159,0.0016602411220878902,0.015164721643281495,0.7819949705112259
3938,3939,Standard,31,0.00348822118035285,0.0018587840447453815,0.005117658315960318,0.2181284972266221
4040,4041,Standard,45,0.0037712620185445626,0.0008467357902197858,0.0066957882468693395,0.3275592806059336
7277,7278,Long,187,0.0005404840638253486,0.0,0.0010809681276506972,0.20214103987068038
8423,8424,Standard,48,0.006771578484637914,0.0,0.013543156969275829,0.6500715345252398
8465,8466,Standard,47,0.006866318750424823,0.0,0.013732637500849645,0.6454339625399332
8471,8472,Long,124,0.003101929470667988,0.001094690416253846,0.0051091685250821296,0.6696616808465611
12511,12514,Long,157,0.04638152877790823,0.0,0.0856299108527684,9.087318129182687
