Saccade_Start,Saccade_End,Saccade_Type,Saccade_Duration,Saccade_Mean_Velocity,Saccade_Min_Velocity,Saccade_Max_Velocity,Saccade_Path_Length:
3864,3865,Standard,32,0.003846094074258755,0.0010789172813520042,0.006613270867165505,0.24615002075256032
9199,9201,Standard,61,0.0034999328387108155,0.00028587821612292765,0.0052929630443020485,0.3204005415994551
9256,9257,Standard,32,0.0025340821475135886,3.225806451612906e-05,0.005035906230511048,0.16214899937635355
9261,9264,Long,95,0.0036547568319311736,0.00038843853479975126,0.004895888740821221,0.46270534847197503
9277,9278,Standard,32,0.002764199300328318,0.0005049185755644687,0.005023480025092167,0.1764038366454479
9282,9284,Standard,64,0.0035016044225605458,4.3478260869565254e-05,0.005252324634150101,0.3367627202179863
9289,9290,Standard,31,0.0027680635249349114,0.00017371499377853255,0.00536241205609129,0.17161993854596447
9293,9294,Standard,30,0.0029378291179228046,0.0005172795424139642,0.005358378693431645,0.1773043061601962
9299,9301,Standard,62,0.004088677802193894,0.0007911868063232605,0.0058273816325127474,0.38103822241035545
9312,9314,Standard,63,0.003664626343165531,0.00021639367524191493,0.005658425379712785,0.3453899444837654
9554,9555,Standard,29,0.002862327505379797,0.00015625000000000014,0.005568405010759594,0.16648374531202825
9889,9891,Standard,63,0.0036138129444229336,4.419417382415926e-05,0.0055097114148683025,0.3414163312497334
9926,9927,Standard,31,0.0027934729419558067,0.00012884705080055202,0.005458098833111062,0.17332416945206056
11851,11852,Standard,31,0.0025336306803762734,6.060606060606066e-05,0.005006655300146486,0.15720631430454107
11871,11872,Standard,31,0.0025756341453557104,4.419417382415926e-05,0.005107074116887262,0.15973351118587822
11879,11880,Standard,48,0.0016693692383330052,0.00019621814613865243,0.003142520330527358,0.1569237383956114
11885,11886,Standard,47,0.001630882841232322,4.5619792334616007e-05,0.003216145890130028,0.1525730703984844
11904,11905,Standard,31,0.004759584280571555,0.004653330630003974,0.004865837931139135,0.2950942253954364
11927,11928,Standard,33,0.002472439209604568,0.00014426245016127686,0.004800615969047859,0.16289246293357895
11949,11951,Standard,63,0.0033357748969078008,0.00021081851067789213,0.004919667163538606,0.3149359140652862
13907,13908,Standard,32,0.0029214125347051634,0.000868574968892662,0.004974250100517665,0.18610182725223778
