Saccade_Start,Saccade_End,Saccade_Type,Saccade_Duration,Saccade_Mean_Velocity,Saccade_Min_Velocity,Saccade_Max_Velocity,Saccade_Path_Length:
19,20,Standard,31,0.0008465893939764821,0.0004737556801183962,0.001219423107834568,0.0520147867464235
24,25,Standard,30,0.001005122664234209,0.0006882098607982894,0.0013220354676701286,0.06168377957564911
190,191,Standard,30,0.0013300728546299441,0.001076198459857659,0.0015839472494022294,0.08195676819751196
198,199,Standard,32,0.0011390891426855917,0.0008529590039972621,0.0014252192813739213,0.07290170513187787
214,215,Standard,46,0.0015901981605181237,0.000659219472179029,0.0025211768488572184,0.13706915815716098
229,231,Standard,62,0.0014276165135134345,0.0007592646642541825,0.0019632739096836285,0.13236537281366828
247,249,Standard,78,0.001620025225271741,0.0006531760235908573,0.0025758019067970493,0.17675990987710893
254,257,Long,94,0.00159071501902093,0.0004306869819258152,0.0027419354838709685,0.20027032197381894
273,276,Long,93,0.002479265610238986,0.00038709677419354827,0.004629494812851854,0.302160076055693
285,287,Standard,60,0.002011961919880254,0.0010427060929748648,0.0033105890714493695,0.18420469106814744
859,860,Standard,31,0.0012226450193369618,0.00048815309517488936,0.001957136943499034,0.07580399119889163
867,868,Standard,31,0.0013728034192026224,0.0008522480524918012,0.0018933587859134436,0.08511381199056259
2168,2169,Standard,32,0.0008425371525240021,0.0003762998305872584,0.0013087744744607458,0.05392237776153613
2575,2580,Long,157,0.0017476265628075898,0.0007647270703954646,0.0025190223232715646,0.3284240350159117
2605,2606,Standard,30,0.0010625852303173294,0.0005871341946267481,0.0015380362660079108,0.06492938220829327
2942,2943,Standard,31,0.001297225150256931,0.0005734883511361741,0.002020961949377688,0.07985447096479355
3112,3113,Standard,32,0.001271370046056093,0.0003330314009042243,0.0022097086912079614,0.08636315396115331
3600,3601,Standard,47,0.0011833218271450913,0.0006327642728536432,0.0017338793814365395,0.10174078765883396
4056,4057,Standard,32,0.001463573052519246,0.0014429245475769004,0.0014842215574615918,0.09218445380377016
4097,4099,Standard,63,0.0017736314759895539,0.00029740465991267336,0.003278868183154058,0.16822659545018256
4296,4300,Long,124,0.0028964553477276267,0.0005176819174721888,0.004272001872658766,0.45654339754790446
4302,4304,Standard,61,0.0015472405079143207,0.00028587821612292754,0.0026270029769680427,0.14273628333762567
4306,4308,Standard,62,0.0015328357943852802,0.0013707320124663315,0.0016250000000000006,0.14394668551960788
4310,4313,Long,108,0.0016862525764430808,0.000980772176654701,0.0026144895401503435,0.22773504330039313
4315,4316,Standard,32,0.0019921734418757975,0.001041366623454221,0.0029429802602973744,0.1254163670331426
4333,4334,Long,186,0.0008300577315278105,0.0,0.001660115463055621,0.3087814761283455
4338,4339,Long,187,0.0010909353042881848,0.0,0.0021818706085763697,0.40800980380378116
4344,4345,Long,110,0.0013651250153733762,0.001252676634770814,0.0014775733959759385,0.20136604923524845
4398,4399,Standard,30,0.0016584691881679733,0.0008320954347308961,0.0024848429416050506,0.1011723421595402
4412,4413,Standard,31,0.0009517844692608489,0.00038709677419354876,0.0015164721643281492,0.05901063709417264
4458,4461,Long,93,0.0017252442635813689,0.0003125000000000003,0.0030470386352070503,0.21289593386247463
4478,4479,Standard,30,0.0015136739715480092,0.00029076450952618,0.0027365834335698383,0.11844306669786767
4483,4486,Long,187,0.0023505663597814365,0.0,0.0047736545515755305,0.5311218211888334
4567,4569,Standard,63,0.00152884525927553,0.0006871842709362774,0.002020189459593699,0.1433745868889846
4571,4574,Long,94,0.0013593070398524665,0.0001822172467139158,0.0021886157868616428,0.17125715488052773
4592,4593,Standard,33,0.0008533351025353175,0.00036065612540319217,0.0013460140796674428,0.055598804516524575
