Fixation_Start_Time,Fixation_End_Time,Fixation_Duration,Average_Gaze_X,Average_Gaze_Y,Average_Velocity
1539166397372,1539166397497,125,-0.035765000000000005,0.28876739999999995,0.010636080355825459
1539166397872,1539166398184,312,-0.04052918181818182,0.2614820909090909,0.012864917402210458
1539166398247,1539166398403,156,0.0059264,0.234951,0.021273257613012832
1539166398465,1539166399530,1065,-0.02513675,0.2335385,0.03297978815672014
1539166399716,1539166400028,312,-0.054723999999999995,0.26216945454545454,0.014499226913372505
1539166400278,1539166400436,158,-0.1659602,0.2518146,0.010996882708075096
1539166400497,1539166400623,126,-0.175559,0.24498899999999998,0.030876749257459552
1539166400982,1539166401122,140,-0.066038,0.19301320000000002,0.015188756355575653
1539166401231,1539166401387,156,-0.08142016666666667,0.2358685,0.011119402189509202
1539166401653,1539166401793,140,-0.1794788,0.2444262,0.017504146788779994
1539166401857,1539166402060,203,-0.1880534285714286,0.23612671428571433,0.04306142972379338
1539166402154,1539166402717,563,-0.0693565,0.27204749999999994,0.019231169382275887
1539166402810,1539166402951,141,0.0568762,0.3203148,0.017309082885935752
1539166403013,1539166403247,234,0.01214775,0.33930950000000004,0.015219883686674058
1539166403325,1539166403513,188,-5.61428571428571e-05,0.34251457142857145,0.018977160111982076
1539166404247,1539166405184,937,0.060784655172413785,0.4563742413793103,0.015817888745712407
1539166405247,1539166405356,109,0.05727299999999999,0.45631175,0.017995348074976554
1539166405701,1539166406012,311,0.0482759,0.45638220000000007,0.015148990976868119
1539166406311,1539166406419,108,-0.0267835,0.27409375,0.02159535575128514
1539166406514,1539166406748,234,-0.102072125,0.279537875,0.02014992328389285
1539166407607,1539166409981,2374,-0.02981070833333334,0.183438625,0.011752344593305594
1539166410045,1539166410340,295,-0.0577538,0.207978,0.013100791670034261
1539166410404,1539166410905,501,-0.022822562499999997,0.220998,0.014346365396120133
1539166410966,1539166411216,250,-0.062272125,0.20617962499999998,0.01192961263684096
1539166411466,1539166412013,547,-0.026786470588235294,0.2180985882352941,0.013141424981731575
1539166412872,1539166413030,158,-0.22575599999999998,0.47868299999999997,0.016334594982532313
1539166413107,1539166413403,296,-0.2054436,0.4921761,0.022246390878362287
1539166413778,1539166413904,126,-0.17665499999999998,0.322342,0.01678407136006934
1539166413966,1539166414403,437,-0.1883250714285714,0.3041209999999999,0.018570683460557822
1539166414512,1539166414856,344,-0.25437075000000003,0.3412128333333333,0.011333319335474603
1539166414935,1539166415592,657,-0.25996438095238095,0.36272523809523816,0.01694593540783568
1539166415685,1539166415842,157,-0.15635400000000002,0.3464218,0.021956246876605478
1539166415905,1539166416059,154,-0.18165416666666667,0.3042978333333333,0.010066941131039061
1539166416123,1539166416405,282,-0.1884828888888889,0.29196355555555553,0.015056058810066171
1539166417326,1539166417498,172,-0.14192066666666667,0.3378595,0.015688497834887516
1539166417653,1539166417794,141,-0.11106159999999998,0.3472948,0.019884478985478328
1539166418670,1539166418794,124,-0.0568606,0.40533860000000005,0.020481246424423526
1539166419045,1539166419623,578,-0.18071066666666669,0.373854,0.012246440893876675
1539166420091,1539166420465,374,-0.17633116666666668,0.2951634166666667,0.01461924869988244
1539166420559,1539166420763,204,-0.12170685714285713,0.32498442857142856,0.018610042127613795
1539166420819,1539166420920,101,-0.15639350000000002,0.3224345,0.017691154647083034
1539166421061,1539166421294,233,-0.21143062499999998,0.32728625,0.03218977751733551
1539166421388,1539166421858,470,-0.12096306666666666,0.30743,0.01461427729055937
1539166421919,1539166422498,579,-0.17095294444444442,0.28637977777777773,0.011484257530630128
1539166422622,1539166422888,266,0.004623222222222221,0.28730955555555554,0.015606104447891666
1539166422982,1539166423091,109,-0.02785125,0.34657875,0.013067564233797934
1539166423154,1539166423795,641,-0.0202909,0.35239724999999994,0.011339220000824633
1539166423856,1539166424012,156,-0.0324685,0.3203275,0.016648783803916756
1539166424090,1539166424419,329,-0.015801090909090907,0.3458417272727273,0.012609831357049052
1539166424498,1539166427747,3249,-0.051015535353535355,0.3121752525252525,0.010355401553710468
1539166428903,1539166429185,282,-0.04903555555555555,0.29984788888888886,0.017308894546857127
1539166429342,1539166429545,203,-0.179533,0.36076814285714287,0.014879316359767816
1539166429873,1539166431028,1155,-0.05050436111111111,0.2689438611111112,0.011545099564812953
1539166431248,1539166431670,422,-0.05876957142857143,0.24005371428571434,0.011727650298609033
1539166431747,1539166432013,266,-0.04473311111111111,0.25290311111111113,0.011358275415359354
1539166432169,1539166433076,907,-0.0384435,0.2657191071428571,0.009780177135008616
1539166433137,1539166433672,535,-0.050573058823529415,0.26060352941176473,0.009611393453345341
1539166433841,1539166435295,1454,-0.047050999999999996,0.2968898,0.009494705711009839
1539166435372,1539166435966,594,-0.058079105263157904,0.27616015789473686,0.012537467197890081
1539166436029,1539166436951,922,-0.03409865517241379,0.285245275862069,0.01045250177136773
1539166437045,1539166437232,187,-0.06741614285714286,0.2835081428571428,0.013068011825887895
1539166437295,1539166437997,702,-0.06438477272727272,0.2823636818181818,0.011731399901372425
1539166438060,1539166440360,2300,-0.048019128571428565,0.28925311428571426,0.010830437884974073
1539166440435,1539166441014,579,-0.017747105263157894,0.2886554736842106,0.008701297915245527
1539166441091,1539166442778,1687,-0.015221769230769231,0.30378853846153847,0.009699920464193034
1539166442889,1539166443091,202,-0.06001814285714286,0.28894585714285714,0.020124712039705624
1539166443326,1539166443825,499,-0.08959125000000001,0.282320625,0.022708452074114347
1539166443919,1539166444498,579,-0.0027774444444444444,0.29528466666666664,0.008437179950539067
1539166444560,1539166444717,157,0.03234733333333333,0.29258066666666666,0.03931636457438395
1539166444810,1539166445014,204,-0.09310185714285714,0.2913892857142857,0.023828129714140826
1539166445185,1539166445325,140,-0.0269156,0.29855960000000004,0.013904782015833367
1539166445388,1539166446278,890,0.006719357142857142,0.2955953214285714,0.008698841156196072
1539166446341,1539166446685,344,-0.011547181818181818,0.2920198181818182,0.011106245129660438
1539166446748,1539166447748,1000,-0.046741096774193545,0.2929961612903225,0.008717323409693646
1539166447858,1539166448451,593,-0.08567794736842103,0.2823187368421053,0.007223360311209357
1539166448544,1539166448811,267,-0.11490066666666666,0.27807722222222225,0.011458688432575768
1539166448873,1539166448982,109,-0.10617425,0.28675524999999996,0.013210325522505659
1539166449060,1539166449841,781,-0.11956396,0.28530072,0.010187476274039592
1539166449919,1539166450076,157,-0.1129905,0.27356733333333333,0.012048017731178544
1539166450138,1539166450419,281,-0.09235355555555555,0.2742906666666666,0.010427153691788038
1539166450482,1539166452076,1594,-0.08071151020408163,0.27956985714285715,0.008603196093105031
1539166452138,1539166452576,438,-0.08128735714285715,0.29758764285714284,0.010192248022238259
1539166452638,1539166453591,953,-0.06246583333333333,0.2843593,0.009216136368472619
1539166453717,1539166453997,280,-0.0982267,0.2760166,0.012574853214443136
1539166454108,1539166454404,296,-0.11746609999999999,0.28170609999999996,0.011223309721017273
1539166454481,1539166454607,126,-0.11817280000000001,0.2831404,0.014787098597530454
1539166454668,1539166456764,2096,-0.099306765625,0.279583125,0.009368541202560834
1539166456825,1539166457326,501,-0.07170037500000001,0.2824835625,0.009647038780616943
1539166457404,1539166458638,1234,-0.07295568421052633,0.2789318421052632,0.007831974033509922
1539166458700,1539166459075,375,-0.08869216666666667,0.2851608333333333,0.013023626807253693
1539166459137,1539166459357,220,-0.10700950000000001,0.275770125,0.018273880194526214
1539166459419,1539166459653,234,-0.10806774999999999,0.28132837499999996,0.01210582472778
1539166459763,1539166459904,141,-0.056373799999999995,0.289821,0.013625611175110724
1539166459997,1539166460216,219,-0.11443937500000001,0.29061175,0.014710729948494991
1539166460497,1539166460951,454,-0.12155093333333332,0.28686513333333336,0.01024541823461057
1539166461014,1539166461594,580,-0.11266238888888888,0.2806118333333334,0.009551208905583327
1539166461654,1539166461919,265,-0.1130231111111111,0.2778008888888889,0.013414187132534835
1539166461998,1539166462122,124,-0.1024832,0.277972,0.02124003511581266
1539166462716,1539166463232,516,-0.06547012499999999,0.2833016875,0.01169121741691572
1539166463294,1539166464591,1297,-0.088395225,0.29532945,0.010261631528875808
1539166464654,1539166464887,233,-0.062100749999999996,0.303173625,0.012641907111953727
1539166464951,1539166465981,1030,-0.075646625,0.29679196875,0.011191648212695672
1539166466044,1539166466357,313,-0.041412500000000005,0.3045075,0.007621532772810457
1539166466451,1539166466779,328,-0.0857390909090909,0.2974909090909091,0.014710132288497725
1539166466841,1539166466983,142,-0.10418480000000001,0.287873,0.017965844277384117
1539166467544,1539166467701,157,-0.10283949999999999,0.29793433333333336,0.012654013176713887
1539166467825,1539166468576,751,-0.08735179166666668,0.29787416666666666,0.008924798549375515
1539166468779,1539166471497,2718,-0.0581463734939759,0.2959734578313253,0.00879999809853641
1539166471575,1539166471717,142,-0.004861,0.2955564,0.011198652709626597
1539166471779,1539166471951,172,0.009077333333333335,0.2958616666666667,0.01624832677003992
1539166472013,1539166472170,157,0.02089433333333333,0.3332063333333333,0.02111236854044481
1539166472233,1539166472904,671,-0.048283714285714284,0.3132522857142857,0.009875886264013475
1539166472969,1539166474638,1669,-0.050183647058823534,0.3033417450980393,0.009651809537254027
1539166474701,1539166474937,236,-0.031872125,0.29821075,0.011297311546733566
1539166474997,1539166476467,1470,-0.032581777777777786,0.2992227777777778,0.009694211319369407
1539166476576,1539166476857,281,-0.035694,0.3051349,0.011636070577907923
1539166476967,1539166478608,1641,0.00465646,0.31509575999999995,0.01059908671028909
1539166478701,1539166478919,218,-0.060072875,0.297939375,0.019722848605645285
1539166478982,1539166479668,686,0.005585809523809524,0.3063998095238095,0.011561178611949432
1539166479825,1539166480326,501,-0.037953125000000004,0.298869375,0.013618081299683468
1539166480404,1539166480920,516,0.016346117647058823,0.3061178823529412,0.011317347553759773
1539166480983,1539166481201,218,0.026098285714285716,0.31189599999999995,0.016190588799785875
1539166481293,1539166481622,329,0.03329109090909091,0.3053667272727273,0.014265590835144983
1539166481732,1539166481856,124,0.08349119999999999,0.3139736,0.01453132145708388
1539166481934,1539166482121,187,0.0703927142857143,0.310676,0.012318730329787423
1539166482248,1539166482591,343,0.07835327272727272,0.3013550909090909,0.012365424386919092
1539166482653,1539166483014,361,0.07994274999999999,0.308387,0.012229700710996034
1539166483262,1539166483512,250,0.07492088888888888,0.32748944444444444,0.019708622007906684
1539166483590,1539166484591,1001,-0.004627741935483871,0.3076818064516129,0.009017560343637017
1539166484654,1539166485014,360,0.04585333333333333,0.3003446666666667,0.010881863658278817
1539166485185,1539166485546,361,0.07706675,0.3057930833333334,0.017030197516026992
1539166485653,1539166486044,391,-0.020436307692307695,0.30182746153846157,0.011335528044238784
1539166486123,1539166486419,296,-0.08501650000000002,0.3003019,0.014808189231257967
1539166486622,1539166486809,187,-0.039511,0.2929402857142857,0.022837243592057084
1539166486950,1539166487155,205,0.02551142857142857,0.3081812857142857,0.014203373096844954
1539166487216,1539166487357,141,0.030732199999999998,0.3074596,0.014127173899611285
1539166487670,1539166488045,375,0.07454016666666667,0.306204,0.014508799493406006
1539166488108,1539166488418,310,0.0784097,0.3056664,0.009380574035570874
1539166488905,1539166489091,186,0.050306500000000004,0.30834266666666665,0.014569595231113902
1539166489154,1539166489747,593,0.007496421052631579,0.3085225263157895,0.011318382874099368
1539166489811,1539166490342,531,-0.02482811764705882,0.30348776470588235,0.012093468512883579
1539166490451,1539166490607,156,0.038908000000000005,0.3149395,0.015056403016470774
