Fixation_Start_Time,Fixation_End_Time,Fixation_Duration,Average_Gaze_X,Average_Gaze_Y,Average_Velocity
1539095488529,1539095488842,313,0.1007619090909091,0.3569034545454545,0.014548716350863676
1539095489124,1539095489451,327,-0.008772,0.18578954545454546,0.015574204795955655
1539095489592,1539095489748,156,0.06275766666666667,0.323799,0.012045588850322024
1539095489811,1539095490358,547,0.08492523529411763,0.3683900588235294,0.012067197875348216
1539095490421,1539095490812,391,0.09337369230769231,0.3100443076923077,0.013224577460051816
1539095490874,1539095491374,500,0.071102125,0.340291,0.010724524439728893
1539095491468,1539095491654,186,0.08285766666666666,0.3000311666666667,0.010164079088970863
1539095491717,1539095491983,266,0.08549488888888888,0.30011811111111114,0.03338794620753649
1539095492546,1539095492749,203,0.1396192857142857,0.5284468571428571,0.01464456539875758
1539095492982,1539095493187,205,-0.016801571428571426,0.4350444285714286,0.01829070353703171
1539095493655,1539095493874,219,0.02487725,0.381694875,0.012926330119883488
1539095493936,1539095494077,141,-0.0009938,0.34887959999999996,0.011067481478800385
1539095494171,1539095494280,109,-0.02265775,0.30737875,0.018315397968714432
1539095494452,1539095494670,218,-0.030586250000000002,0.32344325,0.017603144464755898
1539095495312,1539095495717,405,-0.03267907692307693,0.22560015384615378,0.013769241216179883
1539095495780,1539095495905,125,-0.063746,0.25874300000000006,0.02045156430224693
1539095496108,1539095496217,109,-0.04645025,0.1889415,0.019131086833128853
1539095496546,1539095496732,186,0.03172571428571429,0.33672514285714283,0.018640976630009153
1539095496983,1539095498201,1218,-0.007009315789473684,0.36591442105263156,0.00879275005345322
1539095498311,1539095498670,359,-0.022589333333333333,0.35198208333333336,0.016773647262630805
1539095498732,1539095498951,219,-0.11237157142857143,0.35187085714285715,0.022658741867570838
1539095499201,1539095499374,173,0.031042833333333335,0.35427933333333333,0.02005574666515177
1539095499436,1539095499671,235,-0.0109755,0.366876125,0.008832269197760641
1539095501202,1539095501405,203,0.0,0.0,0.22850579146741296
1539095502060,1539095502171,111,-0.07371575,0.324399,0.021857271108080667
1539095503452,1539095503702,250,-0.013335874999999999,0.25591312499999996,0.014824164732653994
1539095504357,1539095504748,391,-0.17852792307692308,0.38999469230769235,0.01570201252875904
1539095504811,1539095505031,220,-0.1763185714285714,0.37608985714285714,0.012272255196514746
1539095505123,1539095505452,329,-0.1756259090909091,0.3807745454545454,0.023407332318384946
1539095505920,1539095506233,313,0.0570847,0.3686707,0.014926297492681337
1539095508327,1539095508452,125,0.1236812,0.5678682,0.04306369589764097
1539095510639,1539095510982,343,0.02919490909090909,0.34178063636363637,0.01592627960540271
1539095511046,1539095511155,109,0.0227775,0.314316,0.014071916114772428
1539095511217,1539095512249,1032,0.03155284375,0.33540996875000006,0.009503797816219444
1539095512311,1539095512513,202,0.03060685714285714,0.3460997142857143,0.012912425864302782
1539095512576,1539095513139,563,0.058048499999999996,0.3407427222222223,0.009050894574712372
1539095513312,1539095513717,405,0.050695384615384614,0.30409215384615385,0.019016787967424238
1539095514702,1539095514921,219,-0.020168,0.3007318571428571,0.011892332546196958
1539095514984,1539095515718,734,-0.0459745652173913,0.2946197391304349,0.011526937882890324
1539095515780,1539095516218,438,-0.0065485000000000005,0.2974125,0.011998864524495173
1539095516513,1539095517998,1485,0.033885130434782605,0.32478504347826087,0.009470907297017835
1539095518139,1539095518530,391,0.025801384615384615,0.32001123076923077,0.012171620904601157
1539095518608,1539095519108,500,0.0147930625,0.317407375,0.010337832280120052
1539095519171,1539095520031,860,0.013431333333333335,0.3217566296296297,0.008093712014112563
1539095520092,1539095520592,500,0.030823375,0.319057375,0.01676623687105315
1539095520732,1539095522060,1328,0.006611512195121951,0.34644690243902443,0.009809632243963277
1539095522123,1539095522406,283,-0.007876444444444443,0.3459615555555555,0.011562039582134455
1539095522498,1539095522906,408,-0.050670769230769235,0.3561213076923077,0.013009855895377091
1539095522966,1539095523826,860,0.0076416296296296276,0.3511093703703704,0.00970995524204541
1539095523889,1539095525295,1406,0.010425302325581394,0.34502151162790695,0.00801042074105328
1539095525359,1539095525623,264,-0.00532511111111111,0.3449456666666666,0.014898656674929619
1539095525794,1539095526060,266,0.03629411111111111,0.3428255555555555,0.01594599810983901
1539095526122,1539095526421,299,0.0207909,0.3557835,0.0195371869730048
1539095526655,1539095526810,155,-0.0748285,0.3679238333333333,0.009588186293960807
1539095526904,1539095527156,252,-0.07228344444444446,0.3646904444444445,0.010903268884585692
1539095527216,1539095527732,516,-0.06094375,0.36084618749999997,0.010031689990223823
1539095527889,1539095528842,953,-0.026477933333333332,0.37460103333333333,0.010858561510096964
1539095528905,1539095530514,1609,0.0030496122448979593,0.37295116326530614,0.011011123626886854
