Saccade_Start,Saccade_End,Saccade_Type,Saccade_Duration,Saccade_Mean_Velocity,Saccade_Min_Velocity,Saccade_Max_Velocity,Saccade_Path_Length:
3383,3384,Standard,31,0.0012424525696794852,0.0010843700847723628,0.0014005350545866074,0.07703205932012808
3990,3991,Standard,32,0.000986049998645798,0.0006196571842676953,0.0013524428130239005,0.06248754272906337
4414,4415,Standard,32,0.0010612703181762076,0.0007967154216276405,0.0013258252147247747,0.06712458494164965
5046,5047,Standard,31,0.0010465239852305063,0.0004193548387096778,0.0016736931317513346,0.0648844870842914
5095,5098,Long,94,0.0020813204171182837,0.0008441951234325044,0.0030991038131118554,0.27202953749297165
5113,5114,Standard,32,0.001028968077366045,0.0006025447769577148,0.0014553913777743753,0.07489212860579261
5131,5132,Standard,32,0.001593540573714513,0.0010251773278755303,0.0021619038195534956,0.10096141938985329
5139,5140,Standard,30,0.001196463122535061,0.000326259578403455,0.0020666666666666667,0.07244030650891056
5196,5197,Standard,33,0.0014449324694620549,0.0007866949147470639,0.002103170024177046,0.09300545824025444
