Saccade_Start,Saccade_End,Saccade_Type,Saccade_Duration,Saccade_Mean_Velocity,Saccade_Min_Velocity,Saccade_Max_Velocity,Saccade_Path_Length:
359,361,Standard,61,0.0016050804415696828,0.0008576346483687824,0.002549291840666519,0.14843845852205154
504,505,Standard,32,0.0018756723360783241,0.0008090281421925451,0.0029423165299641034,0.1192340013668202
535,536,Standard,32,0.0010962894387001676,0.00038709677419354876,0.0018054821032067866,0.06977542730261718
7388,7389,Standard,31,0.0019862385012960984,0.0009531152711415574,0.003019361731450639,0.12314678708035809
