Saccade_Start,Saccade_End,Saccade_Type,Saccade_Duration,Saccade_Mean_Velocity,Saccade_Min_Velocity,Saccade_Max_Velocity,Saccade_Path_Length:
7,8,Standard,32,0.001517942255281491,0.0008224225021923841,0.002213462008370598,0.09632588183582304
18,21,Long,141,0.00520174041275607,0.0009682794206324916,0.013590449299961274,0.8596071918100051
29,30,Standard,31,0.0011234172076729288,0.0004891398700780794,0.0017576945452677782,0.07014100674579968
41,42,Standard,31,0.0019868639038858682,0.0006699917080747267,0.00330373609969701,0.12251557033284911
56,57,Standard,45,0.000832711834067881,0.0007908161723955661,0.0008746074957401961,0.06387263865257138
73,74,Standard,46,0.0013368019867304399,0.0008411874071229214,0.0018324165663379584,0.11036797167235665
153,157,Long,141,0.0016455213505930568,0.0013922918381215914,0.0019310195694598594,0.28921941429140313
174,176,Standard,78,0.0013170163329778155,0.0008775142263700284,0.0021023796041628635,0.13688977722558343
280,281,Standard,29,0.0012674165208632678,0.0008106951106920535,0.0017241379310344823,0.0759422435421457
383,384,Standard,31,0.001032409483154459,0.0004733484652064643,0.0015914705011024534,0.06495608488598938
392,393,Standard,31,0.002038649987946552,0.0008411874071229227,0.0032361125687701813,0.12639629925268625
403,405,Long,170,0.0008600973443764924,0.00032625957840345493,0.0015037241317169892,0.16134861149039276
412,413,Standard,30,0.0018936416878457204,0.0010624999999999992,0.0027247833756914417,0.11574350127074322
426,428,Standard,77,0.0014489809944104794,0.0010531377592140076,0.001740051084818425,0.14986538554278028
448,450,Standard,63,0.0026484522490467853,0.00048815309517488757,0.005793893229194058,0.2479693695841224
491,493,Standard,63,0.0016709147688241711,0.0004205937035614601,0.00305294930840796,0.156934274795151
561,562,Standard,32,0.0013375284618722964,0.00021343747458109515,0.0024616194491634976,0.08517494661066477
602,603,Standard,31,0.001824177269217748,0.0013300340727798899,0.002318320465655606,0.1130989906915004
624,625,Standard,32,0.0012965783406867983,0.0009392668535736922,0.0016538898277999043,0.0811024800968077
631,635,Long,139,0.002213915350136526,0.0006135895979186843,0.00559383728982172,0.3677055557625222
659,660,Standard,32,0.0017710022055923262,0.0005930573003500081,0.0029489471108346444,0.11275108385755887
670,672,Standard,62,0.0018698950994164834,0.00044814335449838125,0.0026838638191979854,0.17410642994037784
775,776,Standard,32,0.0022221875791757066,0.0012842599507996374,0.003160115207551776,0.14093574511644558
798,800,Standard,62,0.0018707020975947234,0.0006731456008918136,0.00318245057704565,0.1746484406772011
1390,1391,Standard,46,0.0017948093443689236,0.0014208203577771117,0.002168798330960736,0.14381015431528432
1405,1406,Standard,31,0.0011665961644852633,0.0009278361411774959,0.0014053561877930304,0.07047328991573133
1673,1674,Standard,31,0.0019687751615640875,0.0010964589468932353,0.0028410913762349395,0.1209676010700802
2028,2029,Standard,31,0.0013723827330317361,0.0011008696846130327,0.0016438957814504393,0.08618859913258067
2031,2032,Standard,32,0.0010580438703069442,0.0005226441426161437,0.0015934435979977448,0.07503182569627044
2285,2287,Standard,62,0.0010920352951552493,9.882117688026194e-05,0.001932524619451633,0.10165810362631847
2509,2510,Standard,43,0.0010212474572362878,0.0007558366639029889,0.0012866582505695865,0.07951307801938785
2517,2518,Standard,31,0.0011864833241383148,0.0009404761120718226,0.001432490536204807,0.0735619660965755
2522,2524,Standard,63,0.001279240030804921,0.00022580645161290343,0.002352185867630212,0.1202290506380293
2840,2841,Standard,32,0.001180241030308225,0.0010546956596304388,0.001305786400986011,0.07448073028009596
5953,5954,Standard,32,0.001970509460184095,0.0013337499349161703,0.0026072689854520193,0.12344510558194972
6273,6274,Standard,32,0.0023554460689579875,0.0007802184917708264,0.003930673646145149,0.14996832992154038
6311,6313,Standard,79,0.0012854877886536147,0.0001290322580645161,0.0020917872552027035,0.14826859664559594
6315,6316,Standard,31,0.0016343696440175059,0.0006288941186718163,0.0026398451693631954,0.10195981204775717
6318,6320,Standard,63,0.0018719044268959264,0.001172881223399861,0.0024693753818070506,0.176060568376802
6325,6329,Long,156,0.0026332227138833575,0.0,0.006766441848284324,0.615846268155274
