Saccade_Start,Saccade_End,Saccade_Type,Saccade_Duration,Saccade_Mean_Velocity,Saccade_Min_Velocity,Saccade_Max_Velocity,Saccade_Path_Length:
79,81,Standard,62,0.0016583782219214977,0.0007447352503622713,0.00232280464869609,0.15422917463869926
119,120,Standard,32,0.0013700103837284965,0.0011123186870688165,0.0016277020803881768,0.08656834587155496
210,214,Long,125,0.0020988775575024785,0.0010645161290322581,0.004641229968984515,0.32945672713278595
220,224,Long,141,0.001677523650905848,0.0006984606089266759,0.0033049737612422885,0.289339082246299
246,247,Standard,31,0.0023357508429071986,0.0008478663338370755,0.0038236353519773216,0.15838241360163952
289,290,Standard,32,0.0012261153703534324,0.0008997629471600869,0.0015524677935467779,0.07757162075545959
345,346,Standard,31,0.0011683630606361733,0.0005590169943749464,0.0017777091268974003,0.0729975267538177
408,410,Long,80,0.0018237256358471013,0.0009869070026308616,0.003336733292083742,0.19245133984391807
427,428,Standard,31,0.0019687490538207635,0.0011987903299910591,0.0027387077776504674,0.12446002199686945
431,432,Standard,32,0.0010511892787353086,0.0004891398700780793,0.001613238687392538,0.06727611383905975
477,478,Standard,32,0.0018730476860826717,0.0005676462121975457,0.0031784491599677975,0.11873975948489589
480,481,Standard,30,0.0019460064732665819,0.001094196337500724,0.0027978166090324398,0.11894878107099636
485,487,Standard,78,0.0014923200046157456,0.0003186887195995485,0.002151778192301367,0.17353290022568577
501,505,Long,141,0.002080531214892971,0.0008303331409741518,0.0037710215509834033,0.36033960655899255
583,584,Standard,32,0.001529549919615807,0.0004897492403448057,0.0025693505988868084,0.11258367206575581
586,587,Standard,32,0.0011945530124638116,0.0006978486339607711,0.001691257390966852,0.07575354416372317
627,628,Standard,31,0.0018650691446858714,0.0002209708691207963,0.0035091674202509466,0.11585525783964483
668,669,Standard,32,0.0021696193839462223,0.0009937368903709261,0.003345501877521519,0.13786190368218731
672,673,Standard,47,0.0006999757012262349,0.0002829807855667945,0.0011169706168856753,0.061553004131764164
