Fixation_Start_Time,Fixation_End_Time,Fixation_Duration,Average_Gaze_X,Average_Gaze_Y,Average_Velocity
1539599996471,1539599996784,313,0.0839313,0.1348181,0.011174075125559329
1539599997113,1539599997347,234,0.05819725,0.13032275,0.018297026516147768
1539599997752,1539599997940,188,0.08670228571428572,0.14108657142857142,0.010621553714508191
1539599998580,1539599999049,469,0.0010978666666666668,0.1453276666666667,0.015220209873354377
1539599999424,1539599999768,344,0.12373949999999999,0.13380224999999998,0.02876667655793864
1539599999877,1539600000174,297,-0.005366500000000001,0.12348319999999999,0.018996898516767065
1539600000439,1539600000565,126,0.09316659999999999,0.1602378,0.01594044211532689
1539600000690,1539600001033,343,0.1454848333333333,0.189893,0.012724163967777445
1539600001111,1539600001518,407,0.15618984615384615,0.18882776923076922,0.011857254069727596
1539600001612,1539600002706,1094,0.12063638235294118,0.15107002941176467,0.012196047887866972
1539600003127,1539600003236,109,0.08548525,0.14470425,0.019496079652943202
1539600004144,1539600004392,248,0.08287122222222222,0.15614155555555556,0.012524882392515627
1539600004878,1539600005096,218,-0.040500625000000005,0.20424674999999998,0.014778360705000736
1539600006002,1539600006112,110,0.19295900000000002,0.33314575,0.01961496969478493
1539600006659,1539600006768,109,0.16664574999999998,0.193193,0.011953688310437863
1539600006863,1539600007065,202,0.13889271428571429,0.1710285714285714,0.016838520526776677
1539600007128,1539600007285,157,0.11381883333333333,0.15753966666666666,0.014935281083533654
1539600007409,1539600007799,390,0.10151861538461539,0.15459746153846154,0.011934144808363478
1539600007861,1539600008065,204,0.09519285714285715,0.155416,0.027804167619816793
1539600008205,1539600008518,313,0.3078041818181818,0.2667717272727273,0.014255144885649012
1539600009315,1539600009613,298,0.05947500000000001,0.15349833333333335,0.01631444806136054
1539600009674,1539600009986,312,0.029906545454545453,0.16897700000000002,0.014364008446820108
1539600010097,1539600010956,859,0.10591925925925925,0.15799714814814814,0.015226460503684638
1539600011097,1539600011393,296,0.1157582,0.16658219999999999,0.018631866223542293
1539600011752,1539600011924,172,0.1503575,0.18274283333333333,0.017485159133601987
1539600012003,1539600012362,359,0.13922558333333332,0.16801966666666668,0.01544669134690882
