Saccade_Start,Saccade_End,Saccade_Type,Saccade_Duration,Saccade_Mean_Velocity,Saccade_Min_Velocity,Saccade_Max_Velocity,Saccade_Path_Length:
32,33,Standard,31,0.0012362956015818515,0.0003563048203434792,0.0021162863828202236,0.07700663211841828
254,256,Standard,63,0.0020077277758249073,0.0008224225021923845,0.0033063031659241416,0.19002498631764053
275,276,Standard,48,0.0005702401802286212,4.876598490941711e-05,0.0010917143755478252,0.05381650358866871
309,310,Standard,32,0.001126736621587626,0.0005321683239352004,0.0017213049192400514,0.07211114378160806
328,329,Standard,30,0.0017591841809456352,0.0009810907306932609,0.0025372776311980093,0.10653214158743135
360,361,Standard,32,0.0011464650914111288,0.000993140536379419,0.001299789646442839,0.07337376585031224
405,406,Standard,30,0.0020683769999739424,0.000953115271141559,0.0031836387288063255,0.12505573526957808
419,420,Standard,33,0.0014812360406928535,0.0012911287803993227,0.0016713433009863845,0.09517932112492969
439,440,Standard,32,0.0011970575879284224,0.000867975744972497,0.0015261394308843477,0.07574370988244652
953,955,Standard,62,0.0012458884725690437,0.0003686522745635288,0.0018999424932422218,0.11660493249804814
1931,1932,Standard,32,0.0012863919848000373,0.0002600728305902756,0.002312711139009799,0.08206901419661211
2421,2422,Standard,32,0.0019223510238037212,0.0010355025953613054,0.0028091994522461373,0.12303046552343816
2453,2454,Standard,32,0.0010223092798028386,0.00029210919800443303,0.001752509361601244,0.06513568470937722
2458,2459,Standard,31,0.0014174668857150096,0.0009404761120718229,0.0018944576593581963,0.0878829469143306
2483,2484,Standard,31,0.000962634826413888,0.0003043219720018262,0.0016209476808259498,0.059683359237661056
2486,2487,Standard,32,0.0009258845637854181,0.0006362284813972909,0.0012155406461735452,0.05862038360086946
2491,2492,Standard,31,0.0012603769777806736,0.000888291900221993,0.001632462055339354,0.07903166452262375
2494,2497,Long,93,0.0017051391296664556,0.0013003641529513788,0.002149160042641983,0.2111262721822301
2500,2502,Standard,78,0.0012069138523620544,0.0008692212006730001,0.0015436756276136,0.12494268275163947
2864,2865,Standard,32,0.0013223379528268888,0.0010635370755695877,0.0015811388300841897,0.0825025548297817
2943,2944,Standard,31,0.0010597552929830774,0.00045048693173692475,0.0016690236542292298,0.06660580202842464
2948,2950,Standard,77,0.0009996019222320211,0.0001163081056601288,0.001769180601295413,0.1090068711221309
3229,3233,Long,140,0.0015119411089160463,0.0010986700881242836,0.00178667910443432,0.2557513046565691
3869,3870,Standard,30,0.0023710118390069023,0.001151913806590801,0.0035901098714230034,0.14571645176018652
4462,4463,Standard,31,0.0016222172057456766,0.0007985582711987898,0.002445876140292563,0.10137602502743073
4578,4579,Standard,30,0.0017017258610265737,0.0009698900889272846,0.002433561633125863,0.10307344175052172
4711,4712,Standard,32,0.00249745033565725,0.001367073110293992,0.0036278275610205075,0.157102675261476
4809,4810,Standard,32,0.0008278839489014582,0.00024259051597854,0.0014131773818243764,0.056623430469371426
4817,4819,Standard,63,0.0011179261642962589,0.0006579380017539078,0.0013670722645430379,0.10529590150614392
4952,4953,Standard,46,0.001005486768106293,0.0007446808510638296,0.0012662926851487565,0.0932494635168428
4980,4981,Standard,32,0.0008411963915213502,0.00040000000000000034,0.0012823927830427,0.05303656905736641
4984,4985,Standard,31,0.0009017917701523745,0.0004618651955895602,0.0013417183447151887,0.05591108974944722
5109,5110,Standard,33,0.0013554077606797016,0.00027561302404250103,0.002435202497316902,0.0889056861567753
5365,5370,Long,155,0.0019591962655174226,0.001402149733485973,0.0025874909200200615,0.36721480485321256
5382,5383,Standard,32,0.0014697804104556842,0.0007905694150420947,0.002148991405869274,0.09406594626916379
5394,5396,Standard,61,0.0013268979252503163,0.000626338317385406,0.0017013066873566456,0.1217002003609228
5403,5405,Standard,62,0.0014313514883648288,0.0001612903225806453,0.002298521943554162,0.1335799681625236
5407,5408,Standard,33,0.001877146868870627,0.0010349449797506683,0.002719348757990586,0.12078685840620938
5450,5451,Standard,32,0.0015815033869888578,0.0010174262872562317,0.002145580486721484,0.1012162167672869
5561,5563,Standard,61,0.0019233750921779742,0.0012251434864945414,0.0025796209885261133,0.17751940607052005
5579,5580,Standard,31,0.0015613721040291042,0.00047955060475220895,0.0026431936033059996,0.09680507044980445
5610,5611,Standard,33,0.0008683546145955331,0.0003073181485764298,0.0014293910806146364,0.0563894501175759
5613,5615,Standard,78,0.0013827216713382367,0.0002916610405434511,0.0019483344026230316,0.16418154631635112
5630,5631,Standard,32,0.0010478396269879705,0.000425045953397983,0.001670633300577958,0.06706173612723011
5633,5634,Standard,32,0.0015760467562297136,0.0012333333333333343,0.0019187601791260931,0.09840032573203501
5667,5668,Standard,32,0.0012175870056851923,0.0005368811928094563,0.0018982928185609284,0.07738868717104286
5681,5682,Standard,31,0.0022297214759724048,0.0008167089613659449,0.0036427339905788646,0.1382427315102891
5684,5685,Standard,31,0.0015070078875649795,0.0010643366478704011,0.0019496791272595579,0.09449882567689913
5719,5721,Standard,61,0.0012097748084458776,0.0004327873504838303,0.0018262167554475043,0.1111387368660603
5760,5764,Long,125,0.0020259456856944187,0.0011248915874709443,0.0027144734821176035,0.3192414064980001
5805,5809,Long,126,0.0024358775749463548,0.0006629126073623882,0.0037357135269658406,0.38226898493748507
5828,5829,Standard,30,0.002257258358970469,0.0008333333333333334,0.003681183384607605,0.13543550153822817
5851,5853,Standard,79,0.001227485172547486,0.0001163081056601288,0.002429441339840352,0.1334801242733298
5858,5859,Standard,30,0.0015250420748128316,0.0009791208740244544,0.002070963275601209,0.09443988711084325
5899,5900,Standard,30,0.001579381032064284,0.001579381032064284,0.001579381032064284,0.04738143096192852
